Controller,Speed (m/s),MSE,Overshoot,Energy
PID,10,69.10342624055392,-6.729131674951396,13858.819261979586
LQI,10,579.2791313997161,29.682365758893496,164195.12588081873
MPC,10,51.06964736906487,1.7723161856623175,27080.56260553205
PID,20,154.2069141744557,-7.631141982982351,28680.53256465772
LQI,20,737.3586643835068,26.19882465205675,163982.75780819455
MPC,20,173.255848787174,4.62417093334226,48425.44243012616
PID,30,252.78060784062373,-8.614093216112305,45177.28141780387
LQI,30,1013.4579555078983,19.511440430689504,164128.2469082159
MPC,30,369.77360661210594,6.715121249268989,70035.92300649772
